User ID,Age,Course,Mood,Languages,Interests,Semester
1,27,Engineering,"['lunch', 'coffee']","['Chinese', 'French', 'English', 'Spanish']","['music', 'programming', 'reading', 'chess', 'sports']",2
2,34,Economics,['study buddy'],"['Chinese', 'French', 'Spanish', 'English', 'Japanese']","['gym', 'photography', 'programming', 'music', 'reading', 'traveling', 'cooking', 'hiking']",6
3,17,Data Science,"['study buddy', 'running']","['Chinese', 'French', 'English']","['cooking', 'sports', 'chess', 'gym', 'photography', 'reading']",4
4,18,Data Science,['coffee'],"['Spanish', 'Japanese', 'French']","['hiking', 'gaming', 'cooking', 'music', 'gym', 'traveling']",6
5,34,Biology,"['gaming', 'lunch', 'coffee']","['German', 'French', 'Chinese', 'Japanese']","['reading', 'cooking', 'chess']",6
6,35,Psychology,"['gym', 'lunch']","['Chinese', 'Japanese', 'Spanish', 'French', 'English']","['sports', 'gym', 'gaming']",5
7,32,Data Science,"['lunch', 'language_exchange']","['German', 'Chinese', 'French']","['reading', 'sports', 'chess', 'traveling', 'photography', 'programming', 'gym', 'hiking', 'cooking']",3
8,23,Economics,"['gaming', 'lunch']",['English'],"['hiking', 'programming', 'traveling', 'photography', 'music', 'reading', 'cooking', 'gym']",2
9,28,Computer Science,['lunch'],['French'],"['hiking', 'programming', 'sports', 'chess']",4
10,19,Engineering,"['study buddy', 'lunch']","['English', 'Chinese', 'Spanish', 'German', 'Japanese']","['music', 'reading', 'traveling', 'photography', 'sports', 'gym', 'programming', 'gaming', 'chess']",8
11,26,Economics,"['gym', 'coffee', 'language_exchange']","['Japanese', 'Chinese', 'German', 'English', 'Spanish']","['gym', 'sports', 'music', 'hiking', 'programming', 'traveling', 'reading', 'photography', 'cooking']",3
12,34,Data Science,"['coffee', 'running', 'gym']","['Japanese', 'English']","['gym', 'traveling', 'hiking', 'sports', 'music', 'photography', 'gaming', 'reading']",4
13,30,Data Science,"['lunch', 'study buddy']","['Chinese', 'English']","['cooking', 'sports', 'photography', 'traveling', 'reading', 'music']",5
14,35,Computer Science,"['language_exchange', 'gym', 'coffee']","['Japanese', 'Chinese', 'French']","['gaming', 'programming', 'music', 'photography']",1
15,28,Biology,"['coffee', 'language_exchange']","['Spanish', 'Japanese', 'French', 'Chinese']","['gaming', 'programming', 'cooking', 'gym', 'chess', 'music', 'photography']",6
16,27,Engineering,"['language_exchange', 'coffee']","['English', 'Spanish', 'French', 'Chinese']","['photography', 'gaming', 'programming']",2
17,29,Biology,['gym'],"['Spanish', 'German', 'French', 'English', 'Chinese']","['sports', 'photography', 'cooking', 'hiking', 'gym']",3
18,35,Engineering,"['gym', 'coffee']","['French', 'English', 'Chinese', 'Spanish', 'German']","['gym', 'photography', 'programming', 'gaming', 'sports', 'cooking', 'hiking']",1
19,24,Computer Science,"['lunch', 'gaming', 'running']","['French', 'German', 'Chinese', 'English', 'Japanese']","['music', 'programming', 'hiking', 'photography']",3
20,17,Psychology,"['gym', 'study buddy']",['Chinese'],"['sports', 'music', 'photography', 'traveling', 'chess', 'reading', 'gym', 'gaming', 'hiking']",4
21,27,Biology,"['lunch', 'gym']","['English', 'French', 'Japanese', 'Spanish', 'Chinese']","['sports', 'photography', 'chess']",6
